Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,Spare,parts,Ed. 07/200911
Sanremo,84,10402284,VAPORE COMPL.ROMA COMPLETE STEAM WAND
Sanremo,85,10052137A,CHIUSURA GIGLEUR GR.E61 GIGLEUR CLOUSURE CAP
Sanremo,86,10502105A,FUNGO SUP.GR.E61 SUPERIOR  MASHROOM  SEAL 
Sanremo,87,10052136,GRUPPO E-61/ANELLO GROUP FILTER 
Sanremo,88,10052135,"GRUPPI FORO D.0,8 GROUP GIGLEUR HOLE  D0,8"
Sanremo,89,10052133A,SUPERIORE GRUPPO E-61 GROUP SUPERIOR MASHROOM
Sanremo,90,10502090A,LAT.FUNGO GR.E61 LATERAL MASHROOM SEAL 
Sanremo,91,10502100,FUNGO GRUPPO IN.E61 GROUP MASHROOM SEAL 
Sanremo,92,10052132A,LATERALE GRUPPO E-61 LATERAL MASHROOM
Sanremo,93,10052134,GRUPPO E 61 GROUP PIN 
Sanremo,94,10052130,EROG.SAN REMO E61 DISTRIBUTION GROUP
Sanremo,95a,10302066,3VIE BAS.32X32 230V 3 WAY SOLENOID 32X32 230V
Sanremo,95b,10305555,3VIE BAS.32X32 120V 4 WAY SOLENOID 32X32 120V
Sanremo,96,10052120,A RETE GRUPPO E61 GROUP GRID SHOWER 
Sanremo,97,10502110,"SOTTOC. H8,2mm GRUPPO E61 GROUP HEAD  SEAL H8,2mm "
Sanremo,98,10805071,TCEI M4X10 A2 SCREW TCEI M4X10 A2
Sanremo,99,10052141,GRUPPO E61 GROUP DIFFUSER
Sanremo,100,10852075,"8-1/4""F 1093 JOINT 8-1/4""F"
Sanremo,101,10056032,MASSELLO CARICO ROMA BAS.32X32 CHARGING VALVE UNIT 
Sanremo,102,10303093A,2VIE BAS 32X32 230V 2 WAY SOLENOID 32X32 230V
Sanremo,103,10805071,TCEI M4X10 A2 SCREW TCEI M4X10 A2
Sanremo,104,10056096,MASSELLO CAR. 230V ROMA EV.32X32 CHARGING VALVE UNIT ASSEMBLY
Sanremo,105,10806312,D21 DENT. INT. ZN TOOTHED WASHER D21
Sanremo,106,10806370B,RUB.D2X10 VAP. STEAM TAP FORELOCK D2X10
Sanremo,107,10402028,"DADO 1/2"" RIALZATO CROMATO MIDDLE NUT 1/2"
Sanremo,108,10092164,VAPORE ROMA STEAM KNOB
Sanremo,109,10402040,OTT. RUBINETTO TAP WASHER
Sanremo,Spare,parts,Ed. 07/200912
Sanremo,110,10092162,MANOPOLA VAP.ROMA STEAM KNOB CAP
Sanremo,111,10852470,TRAZ.1/4 TD8-TD8 L.450 TRACTION TUBE 1/4 TD8-TD8 L.450
Sanremo,112,10502130,BLOCC. GRUPPO E61 GROUP SEAL 
Sanremo,113,10802500,M8 MEDIO ZN MIDDLE NUT M8
Sanremo,114,10803538,"D8,2 DENT.ZN TOOTHED WASHER D8,2"
Sanremo,115,10302505,OTT. SCARICO ELETR. 3VIE GR E61 3 WAYSOLENOID  DRAIN FITING 
Sanremo,116,10402310,1 TAZZA 1 CUP FILTER HOLDER ASSEMBLY 
Sanremo,117a,10052212,E61 120V S/RACC. GROUP ASSEMBLY 120V WHITOUT FITTINGS
Sanremo,117b,10052214,E61 230V S/RACC. GROUP ASSEMBLY 230V WHITOUT FITTINGS
Sanremo,118,10402312,2 TAZZE 2 CUP FILTER HOLDER ASSEMBLY 
Sanremo,119,10052110,2 TAZZE 2 CUP FILTER
Sanremo,120,10091152,MANICO PORTAF.VR-RM FILTER HOLDER SLEEVE CAP
Sanremo,121,10091150,PORTAF.VR-RM NERO BLACK FILTER HOLDER  SLEEVE
Sanremo,122,10091154,MANICO PORTAF.VR NERO BLACK FILTER HOLDER  SLEEVE RING
Sanremo,123a,10052100,1 TAZZA 8F146 1 CUP FILTER
Sanremo,123b,10052101,1 TAZZA DA 6GR 1 CUP FILTER 6GR
Sanremo,124,10052085,2 VIE APERTO OPEN 2 WAY COFFEE SPOUT
Sanremo,125,10052075,1 VIA APERTO OPEN 1 WAY COFFEE SPOUT
Sanremo,126,10052034,PORTAFILTRO INCLINATO INCLINED FILTER HOLDER BODY
Sanremo,127,10052050,FERMA FILTRO FILTER-STOP SPRING
Sanremo,128,10052220,CIECO BLIND FILTER
Sanremo,129,10852028A,"6-6-1/8""M 1010 JOINT 6-6-1/8""M"
Sanremo,130,10852080A,"6-1/8""M 1050 JOINT 6-1/8""M"
Sanremo,131,10402083,RUB.SCARICO 6310 DRAIN TAP
Sanremo,132,10852030A,"6-1/8""M 1020 JOINT 1-1/8""M"
Sanremo,133,10112134,"VOLUM.1/8"" VOLUMETRIC  WATER COUNTER"
Sanremo,134,10102250,ANTISTRAPPO ANTI STRAP  CABLE GRAND
Sanremo,Spare,parts,Ed. 07/200913
Sanremo,135,10102249,ESAG. PG.21 EXAGONAL LOCKNUT 
Sanremo,136,10805872,TC+ M4X6 ZN SCREW TC+ M4X6 ZN
Sanremo,137,10111015,169° A RIARMO MANUALE THERMOSTAT 169°
Sanremo,138,10105030,IN GOMMA RUBBER CABLE GRAND
Sanremo,139,10853085,"ESAGONALE 1/8"" HEXAGONAL  NUT 1/8"""
Sanremo,140,10852200,PIANA ZN PLANE WASHER
Sanremo,141,10552015,DOPPIA SCALA ROMA DOBLE SCALE PRESSURE GAUGE
Sanremo,142,10002021,CAPILLARE PRESS. POMPA PUMP PRESSURE CAPILLARY  TUBE 
Sanremo,143,10002028,CAPILLARE PRESS. CALDAIA L340 BOILER PRESSURE CAPILLARY TUBE  L340
Sanremo,144,10852464,"TRAZ.1/4F90°-3/8""F L.2000 TRACTION TUBE 1/4 F 90° 3/8F L2000"
Sanremo,145a,10554042,LAMPADA SPOT RM2 L1150 ROSSO R.15 OHM RED SPOT LAMP CABLE L1150 R.15 OHM
Sanremo,145b,10554046,LAMPADA SPOT RM3 ROSSO R.27 OHM RED SPOT LAMP CABLE L.760 R.27 OHM
Sanremo,145c,10554050,LAMPADA SPOT RM3 ROSSO R.27 OHM RED SPOT LAMP CABLE L.460 R.28 OHM
Sanremo,146,10852520,"RIDUZ.IONE 1/4""M - 1/8""F 2530RIDUCTION 1/4M - 1/8F"
Sanremo,147,10002026,CAPILLARE PRESS.CALDAIA L820 BOILER PRESSURE CAPILLARY TUBE  L820
Sanremo,148,10853223,RACC. T 1/8 M/M//F 2050 JOINT 1/8 M/M/F 
Sanremo,149,10852293,"RACC. DRITTO 8-3/8""M 1050 STRAIGHT  JOINT 8-3/8M"
Sanremo,150a,10401990,H2O COMPL.RM ACQUA MISCELATA 230V COMPLETE MIXED WATER TAP 230V
Sanremo,150b,10401992,H2O COMPL.RM ACQUA MISCELATA 120V COMPLETE MIXED WATER TAP 120V
Sanremo,151,10852290A,"10-3/8""M 1050 JOINT 10-3/8""M"
Sanremo,152a,10252070A,PA1504 1-2GR PUMP 1-2GR
Sanremo,152b,10252072A,PA204 2-3GR PUMP 2-3GR
Sanremo,153a,10252038,MOTORE 150W MOTOR CONDENSER  150W
Sanremo,153b,10252040,MOTORE 165W MOTOR CONDENSER  165W
